GDP Growth ,Year
3.838632911,1961
5.281416081,1962
5.205447852,1963
6.568086176,1964
5.571565943,1965
5.669749017,1966
4.17752313,1967
5.989347042,1968
5.834330769,1969
3.660243996,1970
4.290056643,1971
5.634095516,1972
6.434009015,1973
1.827964536,1974
0.598534309,1975
5.28748412,1976
4.074135925,1977
4.060710145,1978
4.191569717,1979
1.806463708,1980
1.920236469,1981
0.404054561,1982
2.60723432,1983
4.681557137,1984
3.711161049,1985
3.464233219,1986
3.740916528,1987
4.655545672,1988
3.754765873,1989
2.923225522,1990
1.462848524,1991
2.061125953,1992
1.80005896,1993
3.284493788,1994
3.094793501,1995
3.612878564,1996
3.867505174,1997
2.816740455,1998
3.525116969,1999
4.49055255,2000
2.02975786,2001
2.339499862,2002
3.17096887,2003
4.46811017,2004
4.067022402,2005
4.501234062,2006
4.445886365,2007
1.998303771,2008
-1.300103338,2009
4.487378883,2010
3.334494338,2011
2.698410438,2012
2.870533793,2013
3.127883746,2014
3.164986986,2015
2.803577513,2016
3.386968207,2017
3.241818851,2018
2.561759669,2019
-3.404752635,2020