rank,country,currency_symbol,currency_symbol,local_price,gbp,eur,usd,Region,areaType,latitude,longitude,name
51,Argentina,$,"$696,000",696000,549840,604824,696000,South America,region,-38.416097,-63.616672,Argentina
37,Austria,€,"€279,072",279072,253956,279072,322524,Europe,region,47.516231,14.550072,Austria
9,Bahrain,BHD,"BHD 81,346",81346,170013,187014,215917,Asia,region,25.930414,50.637772,Bahrain
15,Belarus,€,"€213,600",213600,194376,213600,246858,Europe,region,53.709807,27.953389,Belarus
22,Belgium,€,"€223,100",223100,203021,223100,257836,Europe,region,50.503887,4.469936,Belgium
25,Bosnia and Herzegovina,KM,"436,400 KM",436400,205108,225619,260487,Europe,region,43.915886,17.679076,Bosnia and Herzegovina
30,Brunei,BND$,"BND$379,900",379900,216543,238197,275010,Asia,region,4.535277,114.727669,Brunei
18,Bulgaria,BGN,"432,903 BGN",432903,199135,219049,252902,Europe,region,42.733883,25.48583,Bulgaria
46,Cambodia,$,"$509,000",509000,402110,442321,509000,South America,region,12.565679,104.990963,Cambodia
1,Canada,C$,"C$231,700",231700,136703,150373,173613,North America,region,56.130366,-106.346771,Canada
13,Chile,$,"$239,900",239900,189521,208473,239900,South America,region,-35.675147,-71.542969,Chile
38,China,¥,"¥2,336,000",2336000,256960,282656,326339,Asia,region,35.86166,104.195397,China
42,Colombia,$,"$357,300",357300,282267,310494,357300,South America,region,4.570868,-74.297333,Colombia
21,Cyprus,€,"€221,300",221300,201383,221300,255756,Europe,region,35.126413,33.429859,Cyprus
11,Dominican Republic,$,"$235,000",235000,185650,204215,235000,North America,region,18.735693,-70.162651,Dominican Republic
19,Estonia,€,"€219,360",219360,199618,219360,253514,Europe,region,58.595272,25.013607,Estonia
45,Finland,€,"€380,052",380052,345847,380052,439226,Europe,region,61.92411,25.748151,Finland
20,France,€,"€221,135",221135,201233,221135,255566,Europe,region,46.227638,2.213749,France
14,Germany,€,"€212,711",212711,193567,212711,245830,Europe,region,51.165691,10.451526,Germany
32,Guatemala,$,"$286,700",286700,226493,249142,286700,North America,region,15.783471,-90.230759,Guatemala
24,Italy,€,"€224,559",224559,204349,224559,259523,Europe,region,41.87194,12.56738,Italy
44,Jamaica,$,"$420,120",420120,331895,365084,420120,North America,region,18.109581,-77.297508,Jamaica
28,Japan,¥,"¥28,920,000",28920000,214008,235409,271790,Asia,region,36.204824,138.252924,Japan
4,Jordan,JOD,"JOD 141,000",141000,156510,172161,198768,Asia,region,30.585164,36.238414,Jordan
5,Kuwait,KWD,"KWD 61,700",61700,157952,173747,200599,Asia,region,29.31166,47.481766,Kuwait
39,Lebanon,$,"$331,300",331300,261727,287900,331300,Asia,region,33.854721,35.862285,Lebanon
17,Luxembourg,€,"€215,026",215026,195674,215026,248506,Europe,region,49.815273,6.129583,Luxembourg
2,Mexico,MXN,"MXN 3,998,000",3998000,139930,153923,177711,North America,region,23.634501,-102.552784,Mexico
16,Moldova,€,"€215,000",215000,195650,215000,248476,Europe,region,47.411631,28.369885,Moldova
36,Netherlands,€,"€272,500",272500,247975,272500,314928,Europe,region,52.132633,5.291266,Netherlands
29,New Zealand,NZ$,"NZ$407,900",407900,216187,237806,274557,Oceania,region,-40.900557,174.885971,New Zealand
41,Norway,kr.,"kr. 3,081,900",3081900,265043,291548,336605,Europe,region,60.472024,8.468946,Norway
7,Oman,OMR,"OMR 78,500",78500,160925,177018,204375,Asia,region,21.512583,55.923255,Oman
47,Pakistan,$,"$627,600",627600,495804,545384,627600,Asia,region,30.375321,69.345116,Pakistan
31,Panama,$,"$277,800",277800,219462,241408,277800,North America,region,8.537981,-80.782127,Panama
35,Portugal,€,"€266,903",266903,242882,266903,308460,Europe,region,39.399872,-8.224454,Portugal
40,Ireland,€,"€289,471",289471,263419,289471,334542,Europe,region,53.41291,-8.24389,Ireland
23,Romania,€,"€224,145",224145,203972,224145,259044,Europe,region,45.943161,24.96676,Romania
8,Russia,₽,"15,450,000 ₽",15450000,169950,186945,215837,Asia,region,61.52401,105.318756,Russia
12,Saudi Arabia,SAR,"SAR 890,715",890715,187050,205755,237554,Asia,region,23.885942,45.079162,Saudi Arabia
50,Singapore,SGD$,"SGD$924,488",924488,526958,579654,669237,Asia,region,1.352083,103.819836,Singapore
10,South Korea,₩,"₩269,800,000",269800000,178068,195875,226146,Asia,region,35.907757,127.766922,South Korea
33,Spain,€,"€249,963",249963,227466,249963,288882,Europe,region,40.463667,-3.74922,Spain
26,Sweden,kr,"2,375,000 kr",2375000,211375,232513,268446,Europe,region,60.128161,18.643501,Sweden
34,Switzerland,CHF,"CHF 271,600",271600,230860,253946,293192,Europe,region,46.818188,8.227512,Switzerland
43,Taiwan,NT$,"NT$11,560,000",11560000,312120,343332,396392,Asia,region,23.69781,120.960515,Taiwan
48,Thailand,฿,"฿20,900,000",20900000,522500,574750,663575,Asia,region,15.870032,100.992541,Thailand
27,Ukraine,грн.,"7,600,950 грн.",7600950,212827,234109,270290,Europe,region,48.379433,31.16558,Ukraine
3,United Kingdom,£,"£155,970",155970,155970,171567,198082,Europe,region,55.378051,-3.435973,United Kingdom
6,United States of America,$,"$203,500",203500,160765,176842,203500,North America,region,37.09024,-95.712891,United States
49,Vietnam,₫,"15,430,000,000 ₫",15430000000,524620,577082,666267,Asia,region,14.058324,108.277199,Vietnam
