No.,COUNTRY,Gini coefficient,Taxes on capital as % of GDP - Total,"GDP - Current prices, million euro"
1,Austria,27.5,7.5,397518.50
2,Belgium,25.1,10.6,476343.60
3,Bulgaria,40.8,4.8,61239.50
4,Croatia,29.2,5.0,54237.30
5,Cyprus,31.1,8.5,22287.10
6,Czechia,24.0,5.3,225568.70
7,Denmark,27.5,9.8,310475.60
8,Estonia,30.5,2.6,27732.30
9,Finland,26.2,7.3,240097.00
10,France,29.2,11.0,2437635.00
11,Germany ,29.7,6.9,3473350.00
12,Greece,31.0,8.2,183413.50
13,Hungary,28.0,4.2,146092.70
14,Ireland,28.3,5.7,356526.30
15,Italy,32.8,9.8,1794934.90
16,Latvia,35.2,2.4,30420.90
17,Lithuania,35.4,3.5,48808.60
18,Luxembourg,32.3,12.3,62704.20
19,Malta,28.0,8.2,14047.60
20,Netherlands,26.8,7.9,813055.00
21,Norway,25.4,9.6,362242.60
22,Poland,28.5,8.6,533599.90
23,Portugal,31.9,7.0,214374.60
24,Romania,34.8,3.9,222997.60
25,Slovakia,22.8,4.3,93900.50
26,Slovenia,23.9,5.0,48396.70
27,Spain,33.0,7.8,1244375.00
28,Sweden,27.6,5.9,476869.50