Population growth,Year
1.300724108,1961
1.724346205,1962
2.083322486,1963
2.053199826,1964
2.055241434,1965
2.108667888,1966
2.049528067,1967
2.05577951,1968
2.088176946,1969
2.091252763,1970
2.133116863,1971
2.031211372,1972
1.982943369,1973
1.929549363,1974
1.855833672,1975
1.795079677,1976
1.749615333,1977
1.748020185,1978
1.76204179,1979
1.748661042,1980
1.764067678,1981
1.800490486,1982
1.784324039,1983
1.747125301,1984
1.74895086,1985
1.768300781,1986
1.783001185,1987
1.770183168,1988
1.738568625,1989
1.735441851,1990
1.66842051,1991
1.572928191,1992
1.564565042,1993
1.520440161,1994
1.505991107,1995
1.452694657,1996
1.427219157,1997
1.3916082,1998
1.351790967,1999
1.323075779,2000
1.29759343,2001
1.276808312,2002
1.26147763,2003
1.254263401,2004
1.246923845,2005
1.243694974,2006
1.235741213,2007
1.240854067,2008
1.22174269,2009
1.203332769,2010
1.17025833,2011
1.183934512,2012
1.183844763,2013
1.180215961,2014
1.168739776,2015
1.16374431,2016
1.143856981,2017
1.106150609,2018
1.065130533,2019
1.035990848,2020